region,assessment,year,use_idcntry_raw_str,idcntry_raw,idcntry_raw_str,national_level,countrycode,notes
LAC,LLECE,1997,0,10,,1,ARG,
LAC,LLECE,1997,0,11,,1,BOL,
LAC,LLECE,1997,0,12,,1,BRA,
LAC,LLECE,1997,0,13,,1,CHL,
LAC,LLECE,1997,0,14,,1,COL,
LAC,LLECE,1997,0,15,,1,CRI,
LAC,LLECE,1997,0,16,,1,CUB,
LAC,LLECE,1997,0,24,,1,DOM,
LAC,LLECE,1997,0,20,,1,HND,
LAC,LLECE,1997,0,21,,1,MEX,"Mexico, country"
LAC,LLECE,1997,0,23,,1,PER,
LAC,LLECE,1997,0,22,,1,PRY,
LAC,LLECE,1997,0,25,,1,VEN,
LAC,LLECE,2006,0,11,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE,2006,0,1,,1,ARG,
LAC,LLECE,2006,0,3,,1,BRA,
LAC,LLECE,2006,0,7,,1,CHL,
LAC,LLECE,2006,0,4,,1,COL,
LAC,LLECE,2006,0,5,,1,CRI,
LAC,LLECE,2006,0,6,,1,CUB,
LAC,LLECE,2006,0,20,,1,DOM,
LAC,LLECE,2006,0,8,,1,ECU,
LAC,LLECE,2006,0,12,,1,GTM,
LAC,LLECE,2006,0,14,,1,MEX,
LAC,LLECE,2006,0,16,,1,NIC,
LAC,LLECE,2006,0,17,,1,PAN,
LAC,LLECE,2006,0,19,,1,PER,
LAC,LLECE,2006,0,18,,1,PRY,
LAC,LLECE,2006,0,9,,1,SLV,
LAC,LLECE,2006,0,21,,1,URY,
LAC,LLECE,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE,2013,0,32,,1,ARG,
LAC,LLECE,2013,0,76,,1,BRA,
LAC,LLECE,2013,0,152,,1,CHL,
LAC,LLECE,2013,0,170,,1,COL,
LAC,LLECE,2013,0,188,,1,CRI,
LAC,LLECE,2013,0,214,,1,DOM,
LAC,LLECE,2013,0,218,,1,ECU,
LAC,LLECE,2013,0,320,,1,GTM,
LAC,LLECE,2013,0,340,,1,HND,
LAC,LLECE,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE,2013,0,558,,1,NIC,
LAC,LLECE,2013,0,591,,1,PAN,
LAC,LLECE,2013,0,604,,1,PER,
LAC,LLECE,2013,0,600,,1,PRY,
LAC,LLECE,2013,0,858,,1,URY,
LAC,LLECE-T,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE-T,2013,0,32,,1,ARG,
LAC,LLECE-T,2013,0,76,,1,BRA,
LAC,LLECE-T,2013,0,152,,1,CHL,
LAC,LLECE-T,2013,0,170,,1,COL,
LAC,LLECE-T,2013,0,188,,1,CRI,
LAC,LLECE-T,2013,0,214,,1,DOM,
LAC,LLECE-T,2013,0,218,,1,ECU,
LAC,LLECE-T,2013,0,320,,1,GTM,
LAC,LLECE-T,2013,0,340,,1,HND,
LAC,LLECE-T,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE-T,2013,0,558,,1,NIC,
LAC,LLECE-T,2013,0,591,,1,PAN,
LAC,LLECE-T,2013,0,604,,1,PER,
LAC,LLECE-T,2013,0,600,,1,PRY,
LAC,LLECE-T,2013,0,858,,1,URY,
WLD,PIRLS,2001,0,32,,1,ARG,
WLD,PIRLS,2001,0,100,,1,BGR,
WLD,PIRLS,2001,0,84,,1,BLZ,
WLD,PIRLS,2001,0,124,,1,CAN,Canada - country
WLD,PIRLS,2001,0,9132,,0,CAN,Canadian Province
WLD,PIRLS,2001,0,9133,,0,CAN,Canadian Province
WLD,PIRLS,2001,0,170,,1,COL,
WLD,PIRLS,2001,0,196,,1,CYP,
WLD,PIRLS,2001,0,203,,1,CZE,
WLD,PIRLS,2001,0,276,,1,DEU,
WLD,PIRLS,2001,0,250,,1,FRA,
WLD,PIRLS,2001,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2001,0,927,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2001,0,300,,1,GRC,
WLD,PIRLS,2001,0,344,,1,HKG,
WLD,PIRLS,2001,0,348,,1,HUN,
WLD,PIRLS,2001,0,364,,1,IRN,
WLD,PIRLS,2001,0,352,,1,ISL,
WLD,PIRLS,2001,0,376,,1,ISR,
WLD,PIRLS,2001,0,380,,1,ITA,
WLD,PIRLS,2001,0,414,,1,KWT,
WLD,PIRLS,2001,0,440,,1,LTU,
WLD,PIRLS,2001,0,428,,1,LVA,
WLD,PIRLS,2001,0,504,,1,MAR,
WLD,PIRLS,2001,0,498,,1,MDA,
WLD,PIRLS,2001,0,807,,1,MKD,
WLD,PIRLS,2001,0,528,,1,NLD,
WLD,PIRLS,2001,0,578,,1,NOR,
WLD,PIRLS,2001,0,554,,1,NZL,
WLD,PIRLS,2001,0,642,,1,ROU,
WLD,PIRLS,2001,0,643,,1,RUS,
WLD,PIRLS,2001,0,702,,1,SGP,
WLD,PIRLS,2001,0,703,,1,SVK,
WLD,PIRLS,2001,0,705,,1,SVN,
WLD,PIRLS,2001,0,3752,,1,SWE,"Sweden, other grade"
WLD,PIRLS,2001,0,752,,1,SWE,"Sweden, other grade"
WLD,PIRLS,2001,0,792,,1,TUR,
WLD,PIRLS,2001,0,840,,1,USA,
WLD,PIRLS,2006,0,158,,0,TWN,Taiwan
WLD,PIRLS,2006,0,40,,1,AUT,
WLD,PIRLS,2006,0,956,,1,BEL,Belgium French/Flemish
WLD,PIRLS,2006,0,957,,1,BEL,Belgium French/Flemish
WLD,PIRLS,2006,0,100,,1,BGR,
WLD,PIRLS,2006,0,9134,,0,CAN,Canadian Province
WLD,PIRLS,2006,0,9135,,0,CAN,Canadian Province
WLD,PIRLS,2006,0,9136,,0,CAN,Canadian Province
WLD,PIRLS,2006,0,9132,,0,CAN,Canadian Province
WLD,PIRLS,2006,0,9133,,0,CAN,Canadian Province
WLD,PIRLS,2006,0,276,,1,DEU,
WLD,PIRLS,2006,0,208,,1,DNK,
WLD,PIRLS,2006,0,724,,1,ESP,
WLD,PIRLS,2006,0,250,,1,FRA,
WLD,PIRLS,2006,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2006,0,927,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2006,0,268,,1,GEO,
WLD,PIRLS,2006,0,344,,1,HKG,
WLD,PIRLS,2006,0,348,,1,HUN,
WLD,PIRLS,2006,0,360,,1,IDN,
WLD,PIRLS,2006,0,364,,1,IRN,
WLD,PIRLS,2006,0,9352,,1,ISL,"Iceland, other grade"
WLD,PIRLS,2006,0,352,,1,ISL,"Iceland, other grade"
WLD,PIRLS,2006,0,376,,1,ISR,
WLD,PIRLS,2006,0,380,,1,ITA,
WLD,PIRLS,2006,0,414,,1,KWT,
WLD,PIRLS,2006,0,440,,1,LTU,
WLD,PIRLS,2006,0,442,,1,LUX,
WLD,PIRLS,2006,0,428,,1,LVA,
WLD,PIRLS,2006,0,504,,1,MAR,
WLD,PIRLS,2006,0,498,,1,MDA,
WLD,PIRLS,2006,0,807,,1,MKD,
WLD,PIRLS,2006,0,528,,1,NLD,
WLD,PIRLS,2006,0,9578,,1,NOR,"Norway, other grade"
WLD,PIRLS,2006,0,578,,1,NOR,"Norway, other grade"
WLD,PIRLS,2006,0,554,,1,NZL,
WLD,PIRLS,2006,0,616,,1,POL,
WLD,PIRLS,2006,0,634,,1,QAT,
WLD,PIRLS,2006,0,642,,1,ROU,
WLD,PIRLS,2006,0,643,,1,RUS,
WLD,PIRLS,2006,0,702,,1,SGP,
WLD,PIRLS,2006,0,703,,1,SVK,
WLD,PIRLS,2006,0,705,,1,SVN,
WLD,PIRLS,2006,0,752,,1,SWE,
WLD,PIRLS,2006,0,780,,1,TTO,
WLD,PIRLS,2006,0,840,,1,USA,
WLD,PIRLS,2006,0,710,,1,ZAF,
WLD,PIRLS,2011,0,158,,0,TWN,Taiwan
WLD,PIRLS,2011,0,7842,,0,ARE,"Emirates, cities"
WLD,PIRLS,2011,0,7841,,0,ARE,"Emirates, cities"
WLD,PIRLS,2011,0,784,,1,ARE,Emirates country
WLD,PIRLS,2011,0,36,,1,AUS,
WLD,PIRLS,2011,0,40,,1,AUT,
WLD,PIRLS,2011,0,31,,1,AZE,
WLD,PIRLS,2011,0,957,,1,BEL,Belgium French/Flemish
WLD,PIRLS,2011,0,100,,1,BGR,
WLD,PIRLS,2011,0,72,,1,BWA,
WLD,PIRLS,2011,0,9134,,0,CAN,Canadian Province
WLD,PIRLS,2011,0,124,,1,CAN,Canada - country
WLD,PIRLS,2011,0,9132,,0,CAN,Canadian Province
WLD,PIRLS,2011,0,9133,,0,CAN,Canadian Province
WLD,PIRLS,2011,0,170,,1,COL,
WLD,PIRLS,2011,0,203,,1,CZE,
WLD,PIRLS,2011,0,276,,1,DEU,
WLD,PIRLS,2011,0,208,,1,DNK,
WLD,PIRLS,2011,0,72401,,0,ESP,"Spain, subset"
WLD,PIRLS,2011,0,724,,1,ESP,"Spain, country"
WLD,PIRLS,2011,0,246,,1,FIN,
WLD,PIRLS,2011,0,250,,1,FRA,
WLD,PIRLS,2011,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2011,0,928,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2011,0,268,,1,GEO,
WLD,PIRLS,2011,0,344,,1,HKG,
WLD,PIRLS,2011,0,340,,1,HND,
WLD,PIRLS,2011,0,191,,1,HRV,
WLD,PIRLS,2011,0,348,,1,HUN,
WLD,PIRLS,2011,0,360,,1,IDN,
WLD,PIRLS,2011,0,372,,1,IRL,
WLD,PIRLS,2011,0,364,,1,IRN,
WLD,PIRLS,2011,0,376,,1,ISR,
WLD,PIRLS,2011,0,380,,1,ITA,
WLD,PIRLS,2011,0,414,,1,KWT,
WLD,PIRLS,2011,0,440,,1,LTU,
WLD,PIRLS,2011,0,6504,,1,MAR,"Morocco, other grade"
WLD,PIRLS,2011,0,504,,1,MAR,"Morocco, other grade"
WLD,PIRLS,2011,0,9470,,0,MLT,"Malta, Malthese"
WLD,PIRLS,2011,0,470,,1,MLT,"Malta, regular"
WLD,PIRLS,2011,0,528,,1,NLD,
WLD,PIRLS,2011,0,578,,1,NOR,
WLD,PIRLS,2011,0,554,,1,NZL,
WLD,PIRLS,2011,0,512,,1,OMN,
WLD,PIRLS,2011,0,616,,1,POL,
WLD,PIRLS,2011,0,620,,1,PRT,
WLD,PIRLS,2011,0,634,,1,QAT,
WLD,PIRLS,2011,0,642,,1,ROU,
WLD,PIRLS,2011,0,643,,1,RUS,
WLD,PIRLS,2011,0,682,,1,SAU,
WLD,PIRLS,2011,0,702,,1,SGP,
WLD,PIRLS,2011,0,703,,1,SVK,
WLD,PIRLS,2011,0,705,,1,SVN,
WLD,PIRLS,2011,0,752,,1,SWE,
WLD,PIRLS,2011,0,780,,1,TTO,
WLD,PIRLS,2011,0,840,,1,USA,
WLD,PIRLS,2011,0,710,,1,ZAF,
WLD,PIRLS,2016,0,158,,0,TWN,Taiwan
WLD,PIRLS,2016,0,7842,,0,ARE,"Emirates, cities"
WLD,PIRLS,2016,0,7841,,0,ARE,"Emirates, cities"
WLD,PIRLS,2016,0,784,,1,ARE,Emirates country
WLD,PIRLS,2016,0,32001,,0,ARG,Buenos Aires only
WLD,PIRLS,2016,0,36,,1,AUS,
WLD,PIRLS,2016,0,40,,1,AUT,
WLD,PIRLS,2016,0,31,,1,AZE,
WLD,PIRLS,2016,0,956,,1,BEL,Belgium French/Flemish
WLD,PIRLS,2016,0,957,,1,BEL,Belgium French/Flemish
WLD,PIRLS,2016,0,100,,1,BGR,
WLD,PIRLS,2016,0,48,,1,BHR,
WLD,PIRLS,2016,0,124,,1,CAN,Canada - country
WLD,PIRLS,2016,0,9132,,0,CAN,Canadian Province
WLD,PIRLS,2016,0,9133,,0,CAN,Canadian Province
WLD,PIRLS,2016,0,152,,1,CHL,
WLD,PIRLS,2016,0,203,,1,CZE,
WLD,PIRLS,2016,0,276,,1,DEU,
WLD,PIRLS,2016,0,208001,,1,DNK,Denmark: grade 3 vs 4
WLD,PIRLS,2016,0,208,,1,DNK,Denmark: grade 3 vs 4
WLD,PIRLS,2016,0,818,,1,EGY,
WLD,PIRLS,2016,0,72401,,0,ESP,"Spain, subset"
WLD,PIRLS,2016,0,724005,,0,ESP,"Spain, subset"
WLD,PIRLS,2016,0,724,,1,ESP,"Spain, country"
WLD,PIRLS,2016,0,246,,1,FIN,
WLD,PIRLS,2016,0,250,,1,FRA,
WLD,PIRLS,2016,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2016,0,928,,1,GBR,England/Scotland/N.Ireland
WLD,PIRLS,2016,0,268,,1,GEO,
WLD,PIRLS,2016,0,344,,1,HKG,
WLD,PIRLS,2016,0,348,,1,HUN,
WLD,PIRLS,2016,0,372,,1,IRL,
WLD,PIRLS,2016,0,364,,1,IRN,
WLD,PIRLS,2016,0,376,,1,ISR,
WLD,PIRLS,2016,0,380,,1,ITA,
WLD,PIRLS,2016,0,398,,1,KAZ,
WLD,PIRLS,2016,0,414,,1,KWT,
WLD,PIRLS,2016,0,440,,1,LTU,
WLD,PIRLS,2016,0,428,,1,LVA,
WLD,PIRLS,2016,0,446,,1,MAC,
WLD,PIRLS,2016,0,504,,1,MAR,
WLD,PIRLS,2016,0,470,,1,MLT,
WLD,PIRLS,2016,0,528,,1,NLD,
WLD,PIRLS,2016,0,5784,,1,NOR,Norway: grade 4
WLD,PIRLS,2016,0,578,,1,NOR,Norway: grades 5
WLD,PIRLS,2016,0,554,,1,NZL,
WLD,PIRLS,2016,0,512,,1,OMN,
WLD,PIRLS,2016,0,616,,1,POL,
WLD,PIRLS,2016,0,620,,1,PRT,
WLD,PIRLS,2016,0,634,,1,QAT,
WLD,PIRLS,2016,0,643001,,0,RUS,Moscow only
WLD,PIRLS,2016,0,643,,1,RUS,
WLD,PIRLS,2016,0,682,,1,SAU,
WLD,PIRLS,2016,0,702,,1,SGP,
WLD,PIRLS,2016,0,703,,1,SVK,
WLD,PIRLS,2016,0,705,,1,SVN,
WLD,PIRLS,2016,0,752,,1,SWE,
WLD,PIRLS,2016,0,780,,1,TTO,
WLD,PIRLS,2016,0,840,,1,USA,
WLD,PIRLS,2016,0,7105,,1,ZAF,South Africa: zulu
WLD,PIRLS,2016,0,710,,1,ZAF,South Africa: english
WLD,TIMSS,2003,0,158,,0,TWN,Taiwan
WLD,TIMSS,2003,0,51,,1,ARM,
WLD,TIMSS,2003,0,36,,1,AUS,
WLD,TIMSS,2003,0,956,,1,BEL,
WLD,TIMSS,2003,0,100,,1,BGR,
WLD,TIMSS,2003,0,48,,1,BHR,
WLD,TIMSS,2003,0,72,,1,BWA,
WLD,TIMSS,2003,0,9132,,0,CAN,Canadian Province
WLD,TIMSS,2003,0,9133,,0,CAN,Canadian Province
WLD,TIMSS,2003,0,152,,1,CHL,
WLD,TIMSS,2003,0,196,,1,CYP,
WLD,TIMSS,2003,0,818,,1,EGY,
WLD,TIMSS,2003,0,3724,,1,ESP,
WLD,TIMSS,2003,0,233,,1,EST,
WLD,TIMSS,2003,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,TIMSS,2003,0,927,,1,GBR,England/Scotland/N.Ireland
WLD,TIMSS,2003,0,288,,1,GHA,
WLD,TIMSS,2003,0,344,,1,HKG,
WLD,TIMSS,2003,0,348,,1,HUN,
WLD,TIMSS,2003,0,360,,1,IDN,
WLD,TIMSS,2003,0,364,,1,IRN,
WLD,TIMSS,2003,0,376,,1,ISR,
WLD,TIMSS,2003,0,380,,1,ITA,
WLD,TIMSS,2003,0,400,,1,JOR,
WLD,TIMSS,2003,0,392,,1,JPN,
WLD,TIMSS,2003,0,410,,1,KOR,
WLD,TIMSS,2003,0,422,,1,LBN,
WLD,TIMSS,2003,0,440,,1,LTU,
WLD,TIMSS,2003,0,428,,1,LVA,
WLD,TIMSS,2003,0,504,,1,MAR,
WLD,TIMSS,2003,0,498,,1,MDA,
WLD,TIMSS,2003,0,807,,1,MKD,
WLD,TIMSS,2003,0,458,,1,MYS,
WLD,TIMSS,2003,0,528,,1,NLD,
WLD,TIMSS,2003,0,578,,1,NOR,
WLD,TIMSS,2003,0,554,,1,NZL,
WLD,TIMSS,2003,0,608,,1,PHL,
WLD,TIMSS,2003,0,275,,1,PSE,
WLD,TIMSS,2003,0,642,,1,ROU,
WLD,TIMSS,2003,0,643,,1,RUS,
WLD,TIMSS,2003,0,682,,1,SAU,
WLD,TIMSS,2003,0,702,,1,SGP,
WLD,TIMSS,2003,0,891,,1,SRB,
WLD,TIMSS,2003,0,703,,1,SVK,
WLD,TIMSS,2003,0,705,,1,SVN,
WLD,TIMSS,2003,0,752,,1,SWE,
WLD,TIMSS,2003,0,760,,1,SYR,
WLD,TIMSS,2003,0,788,,1,TUN,
WLD,TIMSS,2003,0,11800,,0,USA,US some state
WLD,TIMSS,2003,0,840,,1,USA,
WLD,TIMSS,2003,0,887,,1,YEM,
WLD,TIMSS,2003,0,710,,1,ZAF,
WLD,TIMSS,2007,0,158,,0,TWN,Taiwan
WLD,TIMSS,2007,0,7841,,0,ARE,Emirates some city
WLD,TIMSS,2007,0,51,,1,ARM,
WLD,TIMSS,2007,0,36,,1,AUS,
WLD,TIMSS,2007,0,40,,1,AUT,
WLD,TIMSS,2007,0,100,,1,BGR,
WLD,TIMSS,2007,0,48,,1,BHR,
WLD,TIMSS,2007,0,70,,1,BIH,
WLD,TIMSS,2007,0,72,,1,BWA,
WLD,TIMSS,2007,0,9134,,0,CAN,Canadian Province
WLD,TIMSS,2007,0,9135,,0,CAN,Canadian Province
WLD,TIMSS,2007,0,9132,,0,CAN,Canadian Province
WLD,TIMSS,2007,0,9133,,0,CAN,Canadian Province
WLD,TIMSS,2007,0,170,,1,COL,
WLD,TIMSS,2007,0,196,,1,CYP,
WLD,TIMSS,2007,0,203,,1,CZE,
WLD,TIMSS,2007,0,276,,1,DEU,
WLD,TIMSS,2007,0,208,,1,DNK,
WLD,TIMSS,2007,0,12,,1,DZA,
WLD,TIMSS,2007,0,818,,1,EGY,
WLD,TIMSS,2007,0,3724,,0,ESP,Spain  some subset
WLD,TIMSS,2007,0,926,,1,GBR,England/Scotland/N.Ireland
WLD,TIMSS,2007,0,927,,1,GBR,England/Scotland/N.Ireland
WLD,TIMSS,2007,0,268,,1,GEO,
WLD,TIMSS,2007,0,288,,1,GHA,
WLD,TIMSS,2007,0,344,,1,HKG,
WLD,TIMSS,2007,0,348,,1,HUN,
WLD,TIMSS,2007,0,360,,1,IDN,
WLD,TIMSS,2007,0,364,,1,IRN,
WLD,TIMSS,2007,0,376,,1,ISR,
WLD,TIMSS,2007,0,380,,1,ITA,
WLD,TIMSS,2007,0,400,,1,JOR,
WLD,TIMSS,2007,0,392,,1,JPN,
WLD,TIMSS,2007,0,398,,1,KAZ,
WLD,TIMSS,2007,0,410,,1,KOR,
WLD,TIMSS,2007,0,414,,1,KWT,
WLD,TIMSS,2007,0,422,,1,LBN,
WLD,TIMSS,2007,0,440,,1,LTU,
WLD,TIMSS,2007,0,428,,1,LVA,
WLD,TIMSS,2007,0,504,,1,MAR,
WLD,TIMSS,2007,0,470,,1,MLT,
WLD,TIMSS,2007,0,496,,1,MNG,
WLD,TIMSS,2007,0,458,,1,MYS,
WLD,TIMSS,2007,0,528,,1,NLD,
WLD,TIMSS,2007,0,578,,1,NOR,
WLD,TIMSS,2007,0,554,,1,NZL,
WLD,TIMSS,2007,0,512,,1,OMN,
WLD,TIMSS,2007,0,275,,1,PSE,
WLD,TIMSS,2007,0,634,,1,QAT,
